species,species_R
E.coli,*E. coli*
E. coli,*E. coli*
Macrocystis pyrifera,*Macrocystis pyrifera*
M. pyrifera,*M. pyrifera*
Haliotis rufescens,*Haliotis rufescens*
H. rufescens,*H. rufescens*
Atherinops affinis,*Atherinops affinis*
A. affinis,*A. affinis*
Mysidopsis bahia,*Mysidopsis bahia*
M. bahia,*M. bahia*
Strongylocentrotus purpuratus,*Strongylocentrotus purpuratus*
S. purpuratus,*S. purpuratus*
Pimephales promelas,*Pimephales promelas*
P. promelas,*P. promelas*
Ceriodaphnia dubia,*Ceriodaphnia dubia*
C. dubia,*C. dubia*
Selenastrum capricornutum,*Selenastrum capricornutum*
S. capricornutum,*S. capricornutum*
Mysidopsis bahia,*Mysidopsis bahia*
M. bahia,*M. bahia*
